"Região","Área","Ocupação","Opinião","Renda","Idade"
"Dalmácia","Educação","Profissional liberal","Insatisfatório",1.83,45
"Aquitânia","Saúde pública","Empresário","Péssimo",5.73,57
"Dalmácia","Educação","Desempregado","Indiferente",3.11,23
"Dalmácia","Infraestrutura","Funcionário público","Satisfatório",1.54,18
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.66,38
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",4.11,37
"Nortúmbria","Educação","Aposentado","Excelente",1.15,18
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.74,43
"Aquitânia","Segurança pública","Empresário","Péssimo",5.99,57
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.09,36
"Catamarca","Saúde pública","Aposentado","Péssimo",2.78,38
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.74,47
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.21,31
"Dalmácia","Educação","Aposentado","Indiferente",2.98,21
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.79,24
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",3.96,48
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.98,20
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.15,18
"Catamarca","Segurança pública","Profissional liberal","Péssimo",4.29,41
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3,30
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.96,25
"Querétaro","Educação","Funcionário público","Indiferente",1.97,26
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",4.61,47
"Dalmácia","Educação","Funcionário público","Indiferente",3.22,26
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",4.53,42
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",2.92,34
"Catamarca","Segurança pública","Profissional liberal","Péssimo",4.93,40
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.44,34
"Aquitânia","Educação","Empresário","Péssimo",4.54,52
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.25,24
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",1.73,34
"Dalmácia","Infraestrutura","Aposentado","Indiferente",1.72,28
"Querétaro","Segurança pública","Assalariado/Autônomo","Indiferente",1.94,43
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",5.59,34
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.17,30
"Dalmácia","Educação","Aposentado","Indiferente",2.45,26
"Nortúmbria","Educação","Assalariado/Autônomo","Indiferente",1.49,30
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.57,24
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.06,18
"Dalmácia","Segurança pública","Assalariado/Autônomo","Insatisfatório",1.9,33
"Querétaro","Educação","Aposentado","Indiferente",3.36,37
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.63,33
"Nortúmbria","Infraestrutura","Aposentado","Indiferente",2.04,18
"Dalmácia","Educação","Funcionário público","Satisfatório",1.16,28
"Aquitânia","Saúde pública","Empresário","Péssimo",6.37,42
"Catamarca","Saúde pública","Profissional liberal","Péssimo",3.09,41
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.42,47
"Catamarca","Saúde pública","Assalariado/Autônomo","Insatisfatório",2.71,40
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.82,31
"Catamarca","Educação","Profissional liberal","Péssimo",2.77,41
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.58,36
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",5.94,48
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.45,31
"Dalmácia","Educação","Aposentado","Insatisfatório",2.2,41
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.3,35
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",9.36,51
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.76,42
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",5.02,46
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",5.81,48
"Catamarca","Segurança pública","Profissional liberal","Péssimo",4.65,33
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",1.31,41
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",4.57,51
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",2.52,34
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",9.15,49
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.89,30
"Dalmácia","Educação","Funcionário público","Indiferente",1.43,33
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.6,27
"Catamarca","Segurança pública","Aposentado","Péssimo",5.23,46
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.58,45
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",8.87,48
"Querétaro","Educação","Aposentado","Indiferente",2.45,30
"Aquitânia","Saúde pública","Empresário","Péssimo",7.57,47
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.58,18
"Dalmácia","Educação","Desempregado","Indiferente",2.16,31
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.04,39
"Dalmácia","Segurança pública","Assalariado/Autônomo","Insatisfatório",1.47,40
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.04,18
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.04,34
"Catamarca","Educação","Aposentado","Insatisfatório",3.46,34
"Querétaro","Educação","Aposentado","Indiferente",2.15,29
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.3,40
"Dalmácia","Saúde pública","Desempregado","Excelente",1.5,18
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.94,22
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.36,18
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",5.52,52
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.67,38
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.06,32
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.92,32
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.59,32
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.97,33
"Querétaro","Segurança pública","Profissional liberal","Insatisfatório",2.38,28
"Dalmácia","Educação","Funcionário público","Indiferente",1.9,26
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.51,21
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.43,35
"Catamarca","Educação","Funcionário público","Indiferente",2.43,38
"Aquitânia","Saúde pública","Empresário","Péssimo",4.08,47
"Catamarca","Educação","Empresário","Indiferente",1.68,44
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",5.6,40
"Catamarca","Segurança pública","Empresário","Péssimo",3.53,45
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.48,18
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.07,18
"Nortúmbria","Educação","Aposentado","Excelente",1.19,20
"Dalmácia","Educação","Funcionário público","Indiferente",1.49,30
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Indiferente",1.62,23
"Dalmácia","Saúde pública","Assalariado/Autônomo","Péssimo",2.31,45
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.23,18
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.27,37
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",8.45,43
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",5.84,37
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.49,33
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",3.15,32
"Aquitânia","Saúde pública","Empresário","Péssimo",6,50
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",4.5,53
"Nortúmbria","Educação","Funcionário público","Excelente",1.12,18
"Aquitânia","Saúde pública","Empresário","Péssimo",7.73,53
"Aquitânia","Saúde pública","Empresário","Péssimo",8.23,60
"Catamarca","Infraestrutura","Profissional liberal","Insatisfatório",3.78,34
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",2.46,23
"Catamarca","Saúde pública","Assalariado/Autônomo","Insatisfatório",2.65,41
"Catamarca","Educação","Profissional liberal","Péssimo",2.13,41
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.59,25
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",4.89,48
"Dalmácia","Educação","Funcionário público","Indiferente",2.06,21
"Dalmácia","Educação","Profissional liberal","Indiferente",1.42,43
"Aquitânia","Segurança pública","Empresário","Péssimo",3.61,54
"Dalmácia","Educação","Empresário","Insatisfatório",1.47,46
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Excelente",1.13,18
"Querétaro","Saúde pública","Assalariado/Autônomo","Insatisfatório",3.53,33
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.18,39
"Aquitânia","Saúde pública","Empresário","Péssimo",6.11,47
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.61,26
"Dalmácia","Segurança pública","Profissional liberal","Insatisfatório",2.57,31
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",1.94,42
"Dalmácia","Educação","Empresário","Indiferente",2.04,38
"Querétaro","Saúde pública","Assalariado/Autônomo","Indiferente",1.92,39
"Dalmácia","Educação","Aposentado","Satisfatório",1.63,27
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",6.91,39
"Catamarca","Saúde pública","Profissional liberal","Péssimo",3,44
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.13,35
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.51,43
"Catamarca","Educação","Empresário","Péssimo",3.85,49
"Dalmácia","Educação","Funcionário público","Insatisfatório",2.48,38
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",5.09,29
"Aquitânia","Segurança pública","Empresário","Péssimo",6.68,45
"Dalmácia","Educação","Profissional liberal","Insatisfatório",2.78,37
"Aquitânia","Saúde pública","Empresário","Péssimo",12.56,52
"Dalmácia","Infraestrutura","Desempregado","Excelente",1.66,23
"Nortúmbria","Infraestrutura","Funcionário público","Satisfatório",1.47,18
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.65,31
"Dalmácia","Segurança pública","Assalariado/Autônomo","Insatisfatório",1.87,28
"Catamarca","Segurança pública","Empresário","Péssimo",2.74,51
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.82,40
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.32,36
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.32,34
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",3.12,26
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.11,42
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",2.57,44
"Catamarca","Educação","Funcionário público","Péssimo",5.13,39
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.88,22
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.02,18
"Aquitânia","Saúde pública","Empresário","Péssimo",4.43,47
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.59,38
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.2,38
"Aquitânia","Saúde pública","Empresário","Péssimo",4.24,51
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",3.75,34
"Dalmácia","Educação","Aposentado","Indiferente",1.76,23
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.65,27
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",2.46,25
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",1.87,37
"Dalmácia","Educação","Aposentado","Satisfatório",1.91,20
"Dalmácia","Educação","Funcionário público","Indiferente",1.63,18
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.09,24
"Nortúmbria","Educação","Aposentado","Excelente",1.09,18
"Dalmácia","Educação","Funcionário público","Indiferente",2.93,25
"Dalmácia","Educação","Aposentado","Indiferente",2,18
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.96,29
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",5.19,42
"Catamarca","Segurança pública","Profissional liberal","Péssimo",4.7,42
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",8.15,55
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",3.62,45
"Dalmácia","Saúde pública","Funcionário público","Indiferente",2.25,21
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",4.05,36
"Dalmácia","Educação","Aposentado","Indiferente",2.24,26
"Catamarca","Segurança pública","Assalariado/Autônomo","Indiferente",2.56,25
"Catamarca","Segurança pública","Funcionário público","Insatisfatório",4.39,24
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",6.25,40
"Dalmácia","Educação","Funcionário público","Indiferente",1.67,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.53,23
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.3,18
"Catamarca","Educação","Profissional liberal","Péssimo",2.54,39
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",5.44,44
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.82,34
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",4.08,34
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.15,18
"Nortúmbria","Educação","Funcionário público","Indiferente",1.19,30
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.38,28
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.6,28
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",4.13,38
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.23,27
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.42,32
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",6.52,37
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.9,43
"Dalmácia","Educação","Desempregado","Excelente",1.39,22
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.39,29
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.19,26
"Aquitânia","Saúde pública","Empresário","Péssimo",2.97,47
"Dalmácia","Educação","Funcionário público","Excelente",1.25,23
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",2.24,44
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.18,36
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.51,27
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",1.43,33
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.21,34
"Catamarca","Saúde pública","Assalariado/Autônomo","Insatisfatório",2.48,37
"Dalmácia","Segurança pública","Aposentado","Indiferente",1.99,23
"Nortúmbria","Infraestrutura","Funcionário público","Satisfatório",1.32,21
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.32,27
"Catamarca","Saúde pública","Assalariado/Autônomo","Insatisfatório",2.43,35
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.09,35
"Catamarca","Segurança pública","Assalariado/Autônomo","Indiferente",2.47,26
"Dalmácia","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.8,35
"Catamarca","Educação","Empresário","Péssimo",4.01,38
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",11.86,51
"Dalmácia","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.27,29
"Catamarca","Educação","Funcionário público","Péssimo",2.95,40
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.03,41
"Dalmácia","Educação","Funcionário público","Indiferente",2.04,29
"Dalmácia","Educação","Profissional liberal","Indiferente",2.7,30
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.58,31
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.08,72
"Aquitânia","Segurança pública","Empresário","Péssimo",12.56,54
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.27,22
"Aquitânia","Saúde pública","Empresário","Péssimo",15.91,60
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.39,34
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.1,23
"Dalmácia","Saúde pública","Profissional liberal","Indiferente",1.79,32
"Catamarca","Educação","Profissional liberal","Péssimo",5.07,45
"Querétaro","Saúde pública","Assalariado/Autônomo","Péssimo",2.24,49
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",4.77,40
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.1,18
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",5.31,44
"Dalmácia","Infraestrutura","Funcionário público","Satisfatório",1.37,28
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",4.29,43
"Dalmácia","Educação","Funcionário público","Indiferente",1.8,32
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.76,35
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.51,34
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.31,43
"Catamarca","Saúde pública","Empresário","Péssimo",2.42,45
"Nortúmbria","Infraestrutura","Funcionário público","Satisfatório",1.48,18
"Nortúmbria","Educação","Desempregado","Excelente",1.2,18
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",5.77,41
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",2.16,30
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",6.26,44
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",3.55,37
"Dalmácia","Educação","Funcionário público","Indiferente",1.9,27
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",2.82,49
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.75,36
"Querétaro","Educação","Funcionário público","Péssimo",4.13,29
"Dalmácia","Educação","Funcionário público","Indiferente",2.41,26
"Aquitânia","Saúde pública","Empresário","Péssimo",5.25,45
"Querétaro","Segurança pública","Assalariado/Autônomo","Indiferente",2.22,33
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.6,35
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",2.43,40
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",2.41,38
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.99,29
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",5.39,46
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.74,39
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",3.92,27
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",3.08,33
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.79,28
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",5.44,34
"Catamarca","Educação","Funcionário público","Indiferente",3.07,26
"Querétaro","Saúde pública","Funcionário público","Indiferente",2.08,33
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",2.95,42
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",4.46,34
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",2.72,30
"Dalmácia","Educação","Aposentado","Indiferente",2.54,18
"Aquitânia","Educação","Profissional liberal","Péssimo",4.38,50
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.78,27
"Nortúmbria","Educação","Funcionário público","Excelente",1.07,27
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.86,33
"Nortúmbria","Educação","Desempregado","Excelente",1.07,19
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.1,18
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.84,40
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",4.48,39
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",5.2,47
"Dalmácia","Educação","Aposentado","Indiferente",1.89,24
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",6.21,42
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3.42,31
"Nortúmbria","Infraestrutura","Desempregado","Satisfatório",1.69,18
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",6.96,43
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",2.72,35
"Querétaro","Segurança pública","Empresário","Insatisfatório",2.11,37
"Dalmácia","Infraestrutura","Desempregado","Indiferente",2.05,24
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",5.27,33
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.36,39
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",8.25,46
"Dalmácia","Educação","Funcionário público","Indiferente",2.46,30
"Querétaro","Educação","Funcionário público","Insatisfatório",2.76,34
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",4.01,45
"Catamarca","Educação","Profissional liberal","Péssimo",3.18,47
"Nortúmbria","Educação","Aposentado","Excelente",1.21,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.55,32
"Dalmácia","Educação","Empresário","Indiferente",2.12,28
"Nortúmbria","Educação","Aposentado","Satisfatório",1.21,21
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.84,40
"Aquitânia","Saúde pública","Empresário","Péssimo",7.74,54
"Dalmácia","Educação","Desempregado","Satisfatório",1.34,24
"Dalmácia","Infraestrutura","Profissional liberal","Indiferente",1.87,39
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",5.13,41
"Catamarca","Saúde pública","Profissional liberal","Insatisfatório",3.17,45
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.63,21
"Dalmácia","Educação","Funcionário público","Insatisfatório",2.51,34
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.32,32
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.84,30
"Dalmácia","Educação","Aposentado","Indiferente",1.67,31
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.13,28
"Nortúmbria","Infraestrutura","Funcionário público","Indiferente",1.94,19
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.37,44
"Catamarca","Segurança pública","Empresário","Insatisfatório",1.9,41
"Aquitânia","Educação","Empresário","Péssimo",4.1,43
"Aquitânia","Segurança pública","Funcionário público","Péssimo",4.26,40
"Catamarca","Educação","Funcionário público","Insatisfatório",3.47,36
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.92,27
"Querétaro","Infraestrutura","Empresário","Insatisfatório",2.37,50
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.56,37
"Dalmácia","Educação","Funcionário público","Indiferente",2.62,31
"Catamarca","Educação","Profissional liberal","Péssimo",3.35,41
"Aquitânia","Segurança pública","Profissional liberal","Insatisfatório",2.87,41
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2,29
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Excelente",1.05,20
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",5.77,52
"Dalmácia","Saúde pública","Assalariado/Autônomo","Insatisfatório",3.14,33
"Querétaro","Educação","Funcionário público","Insatisfatório",2.43,38
"Dalmácia","Infraestrutura","Desempregado","Excelente",1.25,18
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Indiferente",1.28,32
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.64,28
"Catamarca","Educação","Aposentado","Insatisfatório",3.62,34
"Catamarca","Saúde pública","Assalariado/Autônomo","Insatisfatório",4.66,37
"Dalmácia","Educação","Funcionário público","Indiferente",1.32,34
"Catamarca","Educação","Aposentado","Indiferente",2.54,32
"Nortúmbria","Educação","Funcionário público","Satisfatório",1.42,26
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.64,35
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.17,47
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Excelente",1.26,25
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.24,36
"Aquitânia","Saúde pública","Empresário","Péssimo",5.9,68
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",2.47,35
"Dalmácia","Segurança pública","Empresário","Indiferente",1.79,38
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Excelente",1.32,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.9,30
"Dalmácia","Educação","Aposentado","Indiferente",2.15,26
"Dalmácia","Educação","Aposentado","Indiferente",2.48,26
"Nortúmbria","Educação","Aposentado","Excelente",1.29,19
"Querétaro","Educação","Profissional liberal","Insatisfatório",2.58,27
"Nortúmbria","Educação","Funcionário público","Excelente",1.17,23
"Nortúmbria","Educação","Desempregado","Excelente",1.47,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.47,21
"Catamarca","Educação","Profissional liberal","Péssimo",3.29,41
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",2.23,31
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.2,23
"Nortúmbria","Educação","Aposentado","Excelente",1.18,19
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",3.44,40
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",5.07,53
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.47,34
"Catamarca","Educação","Profissional liberal","Indiferente",3.27,41
"Catamarca","Segurança pública","Profissional liberal","Péssimo",5.21,42
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.46,43
